
Custom 8-bit CPU emulator v1.0 - FULL OPCODES LIST
==================================================

Format:
HEX | BIN (AAA BBB CC) | INSTRUCTION

--- ALU (CC=00) --
53    010 100 11    DEC DC
57    010 101 11    (reservado)
5B    010 110 11    (reservado)
5F    010 111 11    (reservado)

-- SHIFT / ROTATE ---
63    011 000 11    SHL A
67    011 001 11    SHR A
6B    011 010 11    ROL A
6F    011 011 11    ROR A
73    011 100 11    SHL B
77    011 101 11    SHR B
7B    011 110 11    ROL B
7F    011 111 11    ROR B

-- NEG / CLR ---    
83    100 000 11    NEG A
87    100 001 11    NEG B
8B    100 010 11    NEG C
8F    100 011 11    NEG D
93    100 100 11    CLR A
97    100 101 11    CLR B
9B    100 110 11    CLR C
9F    100 111 11    CLR D

-- FLAGS ---        
A3    101 000 11    CLC
A7    101 001 11    SEC
AB    101 010 11    CLV
AF    101 011 11    (reserved)
B3    101 100 11    CLI
B7    101 101 11    SEI
BB    101 110 11    (reserved)
BF    101 111 11    (reserved)

-- STACK ---        
C3    110 000 11    PSH A
C7    110 001 11    PSH B
CB    110 010 11    PSH DC (16 bits)
CF    110 011 11    PSH FL (flags)
D3    110 100 11    PLL A
D7    110 101 11    PLL B
DB    110 110 11    PLL DC
DF    110 111 11    PLL FL

-- SYS ---          
E3    111 000 11    NOP
E7    111 001 11    LSP
EB    111 010 11    HLT
EF    111 011 11    (reserved/future BRK)
F3    111 100 11    (reserved)
F7    111 101 11    (reserved)
FB    111 110 11    (reserved)
FF    111 111 11    (reserved)


